"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This test will create a new categories and verify its generated","SUCCESS","2020-06-11T09:57:33.622+01:00[Europe/London]","0.0","9.39"
"Categories CRUD test","This test will get the categories information by ID","SUCCESS","2020-06-11T09:57:43.066+01:00[Europe/London]","0.0","0.2"
"Categories CRUD test","This test will update the categories information and verify the updated information","SUCCESS","2020-06-11T09:57:43.276+01:00[Europe/London]","0.0","0.48"
"Categories CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-11T09:57:43.759+01:00[Europe/London]","0.0","0.45"
"Product CRUD test","This test will create a new products and verify its generated","SUCCESS","2020-06-11T09:57:47.254+01:00[Europe/London]","0.0","0.31"
"Product CRUD test","This test will get the product information by ID","SUCCESS","2020-06-11T09:57:47.570+01:00[Europe/London]","0.0","0.08"
"Product CRUD test","This test will update the product information and verify the updated information","SUCCESS","2020-06-11T09:57:47.652+01:00[Europe/London]","0.0","0.33"
"Product CRUD test","This test will delete the product information and verify the product is deleted ","SUCCESS","2020-06-11T09:57:47.981+01:00[Europe/London]","0.0","0.2"
"Services CRUD test","This test will create a new services and verify its generated","SUCCESS","2020-06-11T09:57:48.367+01:00[Europe/London]","0.0","0.35"
"Services CRUD test","This test will get the service information by ID","SUCCESS","2020-06-11T09:57:48.718+01:00[Europe/London]","0.0","0.08"
"Services CRUD test","This test will update the services information and verify the updated information","SUCCESS","2020-06-11T09:57:48.804+01:00[Europe/London]","0.0","0.43"
"Services CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-11T09:57:49.238+01:00[Europe/London]","0.0","0.26"
"Stores CRUD test","This test will create a new stores and verify its generated","SUCCESS","2020-06-11T09:57:49.684+01:00[Europe/London]","0.0","0.54"
"Stores CRUD test","This test will get the stores information by ID","SUCCESS","2020-06-11T09:57:50.223+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","This test will update the store information and verify the updated information","SUCCESS","2020-06-11T09:57:50.290+01:00[Europe/London]","0.0","0.67"
"Stores CRUD test","This test will delete the store and verify the store is deleted ","SUCCESS","2020-06-11T09:57:50.966+01:00[Europe/London]","0.0","0.44"
